director
Glendyn Ivin
Glenn Ficarra
Glenn Gordon Caron
Glenn McQuaid
Gonzalo López-Gallego
Goran Dukic
Gordon Chan
Gore Verbinski
Gorô Miyazaki
Gorô Taniguchi
Götz Spielmann
Gowtam Tinnanuri
Graham Annable
Graham Moore
Grant Harvey
Grant Heslov
Grant Sputore
Greg Barker
Greg Berlanti
Greg Coolidge
Greg Marcks
Greg McLean
Greg Mottola
Greg Tiernan
Gregg Araki
Gregg Bishop
Gregor Jordan
Gregory Dark
Gregory Hoblit
Gregory Jacobs
Gregory Nava
Gregory Plotkin
Gregory Poirier
Gregory Widen
Gregory Wilson
Greta Gerwig
Griffin Dunne
Grímur Hákonarson
Guel Arraes
Guillaume Canet
Guillaume Ivernel
Guillaume Pierret
Guillem Morales
Guillermo Arriaga
Guillermo del Toro
Gurinder Chadha
Gurmmeet Singh
Gus Van Sant
Gustav Möller
Guy Ferland
Guy Jenkin
Guy Moshe
Guy Nattiv
Guy Ritchie
György Pálfi
H. Vinoth
Hadi Hajaig
Haifaa Al-Mansour
Hal Hartley
Halina Reijn
Halle Berry
Hallie Meyers-Shyer
Han-min Kim
Hang-jun Jang
Hanna Bergholm
Hannah Fidell
Hannes Holm
Hannes Stöhr
Hans Canosa
Hans Horn
Hans Petter Moland
Hans Weingartner
Hansal Mehta
Hanu Raghavapudi
Hany Abu-Assad
Harald Zwart
Haresh Narayan
Hark Tsui
Harmony Korine
Harold Becker
Harold Ramis
Harry Bradbeer
Harry Elfont
Harry Hook
Harry Macqueen
Hart Bochner
Haruo Sotozaki
Hayao Miyazaki
Hayden Schlossberg
Hector Babenco
Heitor Dhalia
Helen Hunt
Hendel Butoy
Henrik Ruben Genz
Henry Alex Rubin
Henry Bean
Henry Hobson
Henry Joost
Henry Selick
Herbert Ross
Herman Yau
Hernán Jiménez
Hettie Macdonald
Hideaki Anno
Hideo Nakata
Hiromasa Yonebayashi
Hironobu Sakaguchi
Hiroyuki Morita
Hiroyuki Okiura
Hiroyuki Yamashita
Hitesh Kewalya
Homi Adajania
Honey Trehan
Hossein Amini
Houda Benyamina
Howard Deutch
Howard Franklin
Howard McCain
Howard Zieff
Hoyt Yeatman
Hsiao-Hsien Hou
Hugh Wilson
Hugo Gélin
Hun Jang
Hunter Richards
Hwang Dong-hyuk
Hype Williams
Iain Softley
Ian Samuels
Icíar Bollaín
Igor Kovalyov
Il Cho
Ildikó Enyedi
Ilya Naishuller
Im Sang-soo
Imtiaz Ali
Indra Kumar
Ira Sachs
Irvin Kershner
Irwin Winkler
Isaac Florentine
Isabel Coixet
Isao Takahata
Ishirô Honda
István Szabó
Ivan Engler
Ivan Kavanagh
Ivan Reitman
J Blakeson
J.A. Bayona
J.B. Rogers
J.C. Chandor
J.D. Dillard
J.J. Abrams
J.J. Perry
J.P. Schaefer
Jac Schaeffer
Jack Bender
Jack Nicholson
Jackie Chan
Jaco Van Dormael
Jacob Chase
Jacob Estes
Jacob Gentry
Jacques Audiard
Jae-young Kwak
Jafar Panahi
Jagan Shakti
Jake Kasdan
Jake Schreier
Jake Scott
Jake Szymanski
Jake West
Jalil Lespert
Jalmari Helander
James Bobin
James Cameron
James Cox
James Dearden
James DeMonaco
James Foley
James Franco
James Gartner
James Gray
James Griffiths
James Gunn
James Ivory
James Kent
James L. Brooks
James Mangold
James Marsh
James Mather
James McTeigue
James Orr
James Ponsoldt
James Schamus
James Vanderbilt
James Wan
James Ward Byrkit
James Watkins
James Wong
Jamie Babbit
Jamie Blanks
Jamie Linden
Jamie M. Dagg
Jamie Payne
Jamie Travis
Jan de Bont
Jan Komasa
Jan Kounen
Jan Sverák
Jan-Ole Gerster
Jane Campion
Janeen Damian
Janicza Bravo
Januel Mercado
Janus Metz
Jarand Herdal
Jared Bush
Jared Hess
Jared Stern
Jarrad Paul
Jasmeet K Reen
Jasmila Zbanic
Jason Bateman
Jason Eisener
Jason Hall
Jason Howden
Jason Krawczyk
Jason Moore
Jason Orley
Jason Reitman
Jason Winer
Jason Woliner
Jaume Balagueró
Jaume Collet-Serra
Javier Fesser
Jay Baruchel
Jay Chandrasekhar
Jay Duplass
Jay Roach
Jay Russell
Je-kyu Kang
Jean-Baptiste Andrea
Jean-Baptiste Léonetti
Jean-Claude Van Damme
Jean-François Richet
Jean-Jacques Annaud
Jean-Loup Felicioli
Jean-Marc Vallée
Jean-Marie Poiré
Jean-Paul Rappeneau
Jean-Pierre Améris
Jean-Pierre Dardenne
Jean-Pierre Jeunet
Jean-Stéphane Sauvaire
Jeb Stuart
Jee-woon Kim
Jeethu Joseph
Jeff Baena
Jeff Burr
Jeff Chan
Jeff Fowler
Jeff Lowell
Jeff Nichols
Jeff Renfroe
Jeff Tomsic
Jeff Tremaine
Jeff Wadlow
Jeff Zimbalist
Jeffrey Blitz
Jeffrey Friedman
Jeffrey Katzenberg
Jeffrey Nachmanoff
Jen Soska
Jennifer Flackett
Jennifer Kaytin Robinson
Jennifer Kent
Jennifer Lynch
Jennifer Yuh Nelson
Jenny Gage
Jens Lien
Jeong-beom Lee
Jeremiah S. Chechik
Jeremiah Zagar
Jeremy Brock
Jérémy Clapin
Jeremy Dyson
Jeremy Garelick
Jeremy Gillespie
Jeremy Haft
Jeremy Leven
Jeremy Phillips
Jeremy Rush
Jeremy Saulnier
Jérôme Salle
Jerry
Jerry Zaks
Jerry Zucker
Jerusha Hess
Jerzy Skolimowski
Jesse Dylan
Jesse Peretz
Jesse V. Johnson
Jessica Bendinger
Jessica M. Thompson
Jessie Nelson
Jesús del Cerro
Jeymes Samuel
Jez Butterworth
Jieho Lee
Jill Culton
Jill Sprecher
Jim Abrahams
Jim Cummings
Jim Fall
Jim Field Smith
Jim Gillespie
Jim Jarmusch
Jim Mickle
Jim Sheridan
Jim Strouse
Jimmy Hayward
Jing Wong
Joachim Rønning
Joachim Trier
Joan Chen
Joann Sfar
Joanna Hogg
Joby Harold
Jocelyn Moorhouse
Jodie Foster
Jody Hill
Joe Berlinger
Joe Carnahan
Joe Chappelle
Joe Charbanic
Joe Cornish
Joe Dante
Joe Johnston
Joe Lynch
Joe Mantello
Joe Nussbaum
Joe Penna
Joe Pytka
Joe Roth
Joe Swanberg
Joe Talbot
Joe Wright
Joel Anderson
Joel Coen
Joel Crawford
Joel Edgerton
Joel Gallen
Joel Hopkins
Joel Schumacher
Joel Zwick
Joey Soloway
Joey Stewart
Johannes Roberts
John A. Davis
John Andreas Andersen
John August
John Badham
John Boorman
John Bruno
John Butler
John Cameron Mitchell
John Carney
John Carpenter
John Carroll Lynch
John Crowley
John Curran
John Dahl
John Duigan
John Erick Dowdle
John Fawcett
John Flynn
John Fortenberry
John Francis Daley
John Frankenheimer
John G. Avildsen
John Gatins
John Glenn
John Gray
John Gulager
John H. Lee
John Hamburg
John Harrison
John Herzfeld
John Hillcoat
John Huddles
John Hughes
John Hyams
John Krasinski
John Krokidas
John Lafia
John Landis
John Lasseter
John Lee Hancock
John Luessenhop
John Maclean
John Madden
John Maybury
John McNaughton
John McPhail
John McTiernan
John Michael McDonagh
John Moore
John N. Smith
John Pasquin
John Patrick Shanley
John Patton Ford
John Payson
John Pogue
John Poliquin
John Polson
John R. Leonetti
John Roberts
John Sanford
John Sayles
John Schlesinger
John Schultz
John Singleton
John Slattery
John Stevenson
John Stockwell
John Swanbeck
John Turturro
John Waters
John Wells
John Whitesell
John Woo
Johnnie To
Johnny Depp
Johnny Martin
Jon Amiel
Jon Avnet
Jon Cassar
Jon Favreau
Jon Harris
Jon Hurwitz
Jon Lucas
Jon M. Chu
Jon Poll
Jon S. Baird
Jon Stewart
Jon Turteltaub
Jon Watts
Jon Wright
Jonah Hill
Jonah Markowitz
Jonas Åkerlund
Jonás Cuarón
Jonas Elmer
Jonas Pate
Jonathan Baker
Jonathan Darby
Jonathan Dayton
Jonathan Demme
Jonathan English
Jonathan Frakes
Jonathan Glazer
Jonathan Hensleigh
Jonathan Jakubowicz
Jonathan Kaplan
Jonathan Kasdan
Jonathan King
Jonathan Levine
Jonathan Liebesman
Jonathan Lynn
Jonathan Milott
Jonathan Mostow
Jonathan Sobol
Jonathan Teplitzky
Joram Lürsen
Jordan Peele
Jordan Scott
Jordan Vogt-Roberts
Jorge Blanco
Jorge Dorado
Jorge Furtado
Jorge R. Gutiérrez
Jorma Taccone
José Padilha
Josef Fares
Josef Rusnak
Joseph Gordon-Levitt
Joseph Kahn
Joseph Kosinski
Joseph Ruben
Joseph Vilsmaier
Joseph Winter
Josephine Decker
Josh Boone
Josh Cooley
Josh Gordon
Josh Greenbaum
Josh Lawson
Josh Radnor
Josh Ruben
Josh Safdie
Josh Schwartz
Josh Trank
Joshua Marston
Joshua Michael Stern
Joshua Seftel
Josie Rourke
Joss Whedon
Juan Carlos Fresnadillo
Juan Carlos Medina
Juan José Campanella
Juan Solanas
Judd Apatow
Jude Weng
Juho Kuosmanen
Julia Ducournau
Julia Leigh
Julian Farino
Julian Gilbey
Julian Jarrold
Julian Schnabel
Juliano Dornelles
Julie Anne Robinson
Julie Delpy
Julie Taymor
Julien Magnat
Julien Maury
